Q,445,1,34200.039467469,0,APU,0.0000,75759,O
Q,8478,1,34200.039495182,0,WRLSR,0.0000,75760,O
Q,3493,1,34200.039564739,0,GSD,0.0000,75761,O
Q,6130,1,34200.039801164,3930,PLAB,10.6500,75793,O
Q,604,1,34200.039967462,0,AUSE,0.0000,75797,O
Q,352,1,34200.040096611,379,AMOT,41.5000,75798,O
Q,3671,1,34200.040109321,0,HHS,0.0000,75799,O
Q,2706,1,34200.040266102,0,EZT,0.0000,75802,O
Q,1094,1,34200.040419413,0,BVAL,0.0000,75806,O
Q,1756,1,34200.040611777,30,CTHR,0.9450,75807,O
Q,7462,1,34200.040629380,0,SYF,0.0000,75808,O
Q,3845,1,34200.040789015,0,HYI,0.0000,75811,O
Q,6113,1,34200.040923710,466,PIZ,24.2900,75816,O
Q,2252,1,34200.041036269,0,EASG,0.0000,75845,O
Q,5395,1,34200.041151813,0,NEE-R,0.0000,75847,O
Q,7734,1,34200.041258060,0,TPC,0.0000,75848,O
Q,1267,1,34200.041324995,2051,CDC,43.0100,75850,O
Q,3641,1,34200.041518095,0,HES-A,0.0000,75857,O
Q,288,1,34200.041761940,0,ALL-G,0.0000,75859,O
Q,3877,1,34200.042013349,0,IBCD,0.0000,75860,O
Q,5239,1,34200.042244065,0,MTECU,0.0000,75882,O
Q,4175,1,34200.042275396,4802,IRDM,18.6500,75893,O
Q,5422,1,34200.042438716,209,NFBK,14.3500,75896,O
Q,2404,1,34200.042689531,0,EMBH,0.0000,75900,O
Q,4183,1,34200.042954576,0,IROQ,0.0000,75901,O
Q,2140,1,34200.043111284,0,DSKEW,0.0000,75903,O
Q,2944,1,34200.043186960,0,FLS,0.0000,75904,O
Q,7999,1,34200.043428772,0,UPRO,0.0000,75910,O
Q,8387,1,34200.043543750,0,WFC-L,0.0000,75928,O
Q,3628,1,34200.043715211,0,HEB,0.0000,75937,O
Q,8631,1,34200.043810934,0,YLD,0.0000,75938,O
Q,1735,1,34200.043933838,0,CSSEP,0.0000,75939,O
Q,2734,1,34200.043976160,445,FBIZ,20.7800,75943,O
Q,1318,1,34200.044111860,0,CETXP,0.0000,75946,O
Q,4784,1,34200.044372537,2320,LOGM,90.0300,75949,O
Q,4325,1,34200.044574436,0,JE-A,0.0000,75952,O
Q,846,1,34200.044603782,0,BHR-B,0.0000,75953,O
Q,6311,1,34200.044838032,56,PSL,66.8400,75976,O
Q,1629,1,34200.045111731,207,CORV,3.6800,75987,O
Q,7377,1,34200.045272270,0,STI-A,0.0000,75990,O
Q,1017,1,34200.045405465,0,BRN,0.0000,75992,O
Q,6080,1,34200.045501535,0,PHG,0.0000,75993,O
Q,1385,1,34200.045602193,0,CHIU,0.0000,75994,O
Q,1777,2,34200.045803122,375,CTWS,66.6500,75996,O
Q,7638,1,34200.045901964,0,TIBR,0.0000,75999,O
Q,2112,1,34200.046023780,0,DQML,0.0000,76002,O
Q,6849,1,34200.046166846,0,SBBX,0.0000,76013,O
Q,2578,1,34200.046176753,0,ETHO,0.0000,76014,O
Q,4133,1,34200.046369108,0,IOO,0.0000,76038,O
Q,447,2,34200.046622717,201,APWC,2.2000,76041,O
Q,6481,1,34200.046774922,0,QXGG,0.0000,76046,O
Q,5753,1,34200.046837801,0,OKE,0.0000,76047,O
Q,5821,2,34200.047030993,1626,ORBK,60.4300,76049,O
Q,6810,2,34200.047256312,12161,SABR,22.8600,76058,O
Q,6103,1,34200.047436681,0,PII,0.0000,76075,O
Q,3863,1,34200.047449251,0,I,0.0000,76076,O
Q,1752,2,34200.047617896,381,CTBI,41.3800,76089,O
Q,2856,1,34200.047711452,0,FIEG,0.0000,76093,O
Q,1769,1,34200.047891610,620,CTRN,20.7800,76096,O
Q,5482,1,34200.048091975,395,NLNK,1.3700,76100,O
Q,2180,1,34200.048171351,0,DUST,0.0000,76103,O
Q,7584,1,34200.048306103,0,TEF,0.0000,76104,O
Q,791,1,34200.048420086,0,BEF,0.0000,76107,O
Q,2272,1,34200.048526447,0,ECCA,0.0000,76116,O
Q,6076,1,34200.048636318,0,PHB,0.0000,76126,O
Q,2853,1,34200.048782474,0,FIDI,0.0000,76132,O
Q,578,2,34200.048810775,4893,ATNX,11.1300,76140,O
Q,6265,1,34200.048918496,0,PRTHW,0.0000,76144,O
Q,1749,1,34200.049282703,6289,CTAS,184.1400,76145,O
Q,105,1,34200.049393457,0,ADSW,0.0000,76147,O
Q,5744,1,34200.049489680,0,OII,0.0000,76153,O
Q,338,1,34200.049667704,0,AMH,0.0000,76168,O
Q,4559,1,34200.049842466,0,KN,0.0000,76183,O
Q,6019,1,34200.049944944,0,PES,0.0000,76184,O
Q,1016,3,34200.050069313,5721,BRKS,30.0000,76187,O
Q,3902,1,34200.050211945,0,IBMK,0.0000,76194,O
Q,5634,3,34200.050392294,56,NVIV,1.7000,76197,O
Q,1639,1,34200.050479893,0,CP,0.0000,76202,O
Q,7704,1,34200.050962145,9901,TNDM,41.9700,76218,O
Q,4640,1,34200.051054504,0,LANDP,0.0000,76233,O
Q,2206,1,34200.051212432,0,DWMF,0.0000,76236,O
Q,7294,1,34200.051519132,0,SPYG,0.0000,76245,O
Q,343,1,34200.051680184,0,AMH-H,0.0000,76257,O
Q,228,1,34200.051827420,51,AIRG,10.9900,76258,O
Q,6300,2,34200.051883992,89,PSCI,60.8400,76262,O
Q,681,1,34200.052030759,0,BAC-C,0.0000,76278,O
Q,7871,1,34200.052194314,0,TXT,0.0000,76279,O
Q,6325,1,34200.052350667,0,PSX,0.0000,76282,O
Q,4834,1,34200.052436840,0,LTN=,0.0000,76285,O
Q,1443,1,34200.052458030,0,CIR,0.0000,76286,O
Q,4626,1,34200.052558389,0,LABU,0.0000,76293,O
Q,6266,1,34200.052749437,1100,PRTK,6.5500,76306,O
Q,3072,1,34200.053041144,1700,FSCT,29.5800,76315,O
Q,7897,1,34200.053113199,0,UBA,0.0000,76326,O
