hour stock vwap
13 AAPL 165.62
13 ACIU 3.83
13 ADBE 245.77
13 ALGN 233.05
13 AMD 23.18
13 AMGN 184.86
13 AMZN 1689.74
13 APRN 1.43
13 BABA 167.14
13 BIDU 169.83
13 BILI 17.84
13 BKNG 1824.48
13 BOX 20.37
13 CAT 129.68
13 COST 211.2
13 CRM 150.69
13 CRON 18.49
13 CSCO 46.81
13 EEM 42.87
13 FB 168.15
13 FLEX 10.69
13 GE 9.23
13 GOLD 13.17
13 GOOG 1104.76
13 GOOGL 1114.26
13 HPQ 22.18
13 IIPR 60.05
13 INTC 47.64
13 LULU 148.66
13 MA 202.94
13 MRCY 59.45
13 MSFT 104.22
13 MU 38.37
13 MUX 1.8
13 NFLX 341.43
13 NOW 209.29
13 NUGT 20.06
13 NVDA 137.52
13 PEP 110.86
13 PYPL 89.15
13 PYX 15.77
13 QCOM 51.3
13 QID 40.08
13 QQQ 166.92
13 ROKU 44.14
13 SHOP 163.5
13 SPY 268.17
13 SQ 71.84
13 SYK 181.25
13 TDOC 62.1
13 TMUS 68.78
13 TQQQ 45.99
13 TSLA 298.07
13 TVIX 42.96
13 TWTR 33.24
13 ULTA 289.09
13 UNG 25.62
13 USO 11.44
13 V 134.57
13 WLTW 161.41
13 X 20.88
13 XLK 66.29
13 ZVZZT 10.0
