hour stock vwap
4 A 73.92
4 AA 28.84
4 AABA 66.6
4 AAC 2.22
4 AAL 36.47
4 AAME 2.75
4 AAN 49.1
4 AAOI 16.59
4 AAON 35.62
4 AAP 158.02
4 AAPL 162.21
4 AAT 42.04
4 AAWW 50.83
4 AAXJ 67.43
4 AAXN 48.71
4 AB 30.03
4 ABB 19.08
4 ABBV 77.71
4 ABC 79.67
4 ABCB 37.96
4 ABEO 6.52
4 ABEV 4.76
4 ABG 69.18
4 ABIL 2.01
4 ABIO 0.4
4 ABM 33.15
4 ABMD 332.43
4 ABR 11.67
4 ABT 69.96
4 ABTX 36.18
4 ACA 29.46
4 ACAD 22.58
4 ACB 6.91
4 ACBI 18.41
4 ACC 45.8
4 ACCO 8.86
4 ACER 22.91
4 ACGL 28.8
4 ACGLO 22.72
4 ACGLP 22.14
4 ACH 9.01
4 ACHC 27.63
4 ACHN 2.14
4 ACHV 1.42
4 ACIA 42.81
4 ACIU 3.51
4 ACIW 28.6
4 ACLS 20.55
4 ACM 30.15
4 ACMR 9.46
4 ACN 152.13
4 ACOR 15.88
4 ACP 11.54
4 ACRS 6.86
4 ACRX 2.41
4 ACT 22.88
4 ACWI 68.25
4 ADAP 4.68
4 ADBE 241.13
4 ADC 64.42
4 ADES 11.47
4 ADI 97.62
4 ADIL 4.99
4 ADM 44.29
4 ADMP 3.12
4 ADMS 8.51
4 ADNT 18.85
4 ADOM 0.26
4 ADP 136.81
4 ADRO 2.45
4 ADS 177.31
4 ADSK 141.64
4 ADSW 24.7
4 ADT 7.16
4 ADTN 14.34
4 ADUS 59.6
4 ADVM 2.97
4 ADXS 0.35
4 AE 39.82
4 AEE 67.46
4 AEG 5.2
4 AEGN 17.8
4 AEHR 1.2
4 AEIS 50.34
4 AEL 30.28
4 AEM 42.44
4 AEMD 1.33
4 AEO 20.98
4 AEP 76.99
4 AER 47.47
4 AERI 46.42
4 AES 16.09
4 AFG 94.08
4 AFI 13.02
4 AFIN 12.88
4 AFL 47.14
4 AFSI-B 7.79
4 AFSI-F 7.53
4 AFSS 14.0
4 AG 5.73
4 AGCO 63.33
4 AGE 4.05
4 AGEN 3.34
4 AGFS 3.96
4 AGG 106.86
4 AGI 4.35
4 AGIO 50.59
4 AGLE 8.65
4 AGM 71.58
4 AGN 142.61
4 AGNC 17.98
4 AGR 48.73
4 AGS 24.58
4 AGX 42.38
4 AGYS 17.77
4 AGZD 47.49
4 AHC 3.92
4 AHPI 1.98
4 AHT 4.8
4 AHT-I 21.16
4 AI 8.57
4 AIG 42.31
4 AIG+ 6.9
4 AIMC 29.34
4 AIMT 21.93
4 AIN 68.01
4 AINC 65.35
4 AINV 14.74
4 AIPT 1.01
4 AIR 36.49
4 AIT 58.32
4 AIV 49.23
4 AIZ 95.07
4 AJG 72.04
4 AJRD 38.67
4 AKAM 64.27
4 AKAO 1.69
4 AKBA 5.44
4 AKG 0.75
4 AKR 27.95
4 AKRX 4.15
4 AKS 2.71
4 AKTS 7.29
4 AL 37.35
4 ALB 79.01
4 ALDR 12.22
4 ALDX 8.53
4 ALE 74.82
4 ALG 87.24
4 ALGN 216.22
4 ALGT 125.21
4 ALK 64.26
4 ALKS 32.54
4 ALL 86.67
4 ALLE 84.89
4 ALLK 39.7
4 ALLO 30.43
4 ALLT 6.77
4 ALLY 26.48
4 ALNA 7.52
4 ALNY 78.37
4 ALOT 19.98
4 ALQA 2.49
4 ALRM 62.54
4 ALSN 48.71
4 ALT 2.97
4 ALTM 8.4
4 ALTR 30.81
4 ALV 76.57
4 ALX 329.88
4 ALXN 119.21
4 AM 25.91
4 AMAG 15.4
4 AMAL 18.8
4 AMAT 38.81
4 AMBA 37.63
4 AMBC 18.55
4 AMC 14.17
4 AMCN 0.55
4 AMCX 61.6
4 AMD 21.95
4 AME 71.82
4 AMED 128.26
4 AMG 105.23
4 AMGN 186.62
4 AMGP 13.68
4 AMH 22.06
4 AMJ 25.05
4 AMKR 7.89
4 AMLP 9.86
4 AMN 64.32
4 AMNB 32.84
4 AMOT 41.47
4 AMP 118.9
4 AMPH 21.97
4 AMR 1.01
4 AMRC 14.89
4 AMRN 16.74
4 AMRS 2.76
4 AMRX 12.13
4 AMSC 12.74
4 AMSF 59.06
4 AMSWA 11.1
4 AMT 170.09
4 AMTB 13.69
4 AMTD 55.19
4 AMWD 66.69
4 AMX 15.78
4 AMZA 5.84
4 AMZN 1634.68
4 AN 36.94
4 ANAB 61.97
4 ANAT 137.45
4 ANCX 24.15
4 ANDE 34.22
4 ANDX 35.77
4 ANET 208.01
4 ANF 21.41
4 ANFI 0.88
4 ANGI 16.05
4 ANGL 27.9
4 ANGO 20.76
4 ANH 4.46
4 ANIK 37.34
4 ANIX 5.28
4 ANSS 160.4
4 ANTM 298.63
4 ANY 2.7
4 AOBC 11.84
4 AON 152.76
4 AOR 42.85
4 AOS 46.98
4 AOSL 11.75
4 AP 3.7
4 APA 33.14
4 APAM 22.4
4 APC 46.97
4 APD 164.04
4 APDN 0.46
4 APEI 29.65
4 APEN 3.54
4 APH 86.42
4 APHA 7.35
4 APLE 16.0
4 APLS 13.12
4 APM 13.86
4 APO 27.67
4 APOG 33.56
4 APOP 2.33
4 APPF 60.01
4 APPN 31.58
4 APRN 1.48
4 APTV 72.25
4 APTX 5.35
4 APU 30.02
4 APY 33.7
4 APYX 8.81
4 AQ 8.7
4 AQB 2.2
4 AQMS 2.2
4 AQST 7.36
4 AQUA 10.24
4 AR 10.32
4 ARAV 3.66
4 ARAY 4.43
4 ARC 2.22
4 ARCB 39.97
4 ARCC 16.09
4 ARCH 85.55
4 ARCI 0.46
4 ARCO 8.77
4 ARCT 5.16
4 ARD 11.82
4 ARDX 2.1
4 ARE 128.29
4 ARES 20.72
4 AREX 0.99
4 ARGO 64.06
4 ARGX 103.32
4 ARI 17.9
4 ARKK 41.54
4 ARKW 48.06
4 ARLO 7.01
4 ARMK 32.29
4 ARNA 44.33
4 ARNC 18.43
4 AROC 9.53
4 AROW 31.32
4 ARQL 3.38
4 ARR 21.03
4 ARRS 31.29
4 ARRY 18.02
4 ARTNA 34.7
4 ARTX 3.49
4 ARVN 17.08
4 ARW 74.71
4 ARWR 13.39
4 ASA 9.93
4 ASB 22.09
4 ASGN 60.96
4 ASH 76.37
4 ASHR 23.74
4 ASIX 30.36
4 ASLN 3.7
4 ASMB 21.3
4 ASML 175.47
4 ASNA 2.39
4 ASND 71.58
4 ASPS 22.76
4 ASR 180.33
4 ASRT 4.21
4 ASRV 4.15
4 AST 1.04
4 ASTC 5.03
4 ASTE 36.72
4 ASUR 5.54
4 ASV 3.13
4 ASX 3.9
4 ATEC 1.57
4 ATEN 6.54
4 ATGE 48.65
4 ATH 42.18
4 ATHM 72.36
4 ATHN 134.37
4 ATHX 1.58
4 ATI 26.49
4 ATISW 0.08
4 ATKR 22.13
4 ATLO 25.34
4 ATNI 73.22
4 ATNX 11.34
4 ATO 94.76
4 ATR 98.03
4 ATRA 34.62
4 ATRC 29.53
4 ATRO 30.73
4 ATSG 23.6
4 ATTU 24.33
4 ATU 22.44
4 ATUS 18.62
4 ATVI 46.15
4 AU 13.69
4 AUBN 33.04
4 AUDC 14.37
4 AUO 4.0
4 AUPH 6.33
4 AUTL 27.82
4 AUTO 3.1
4 AUY 2.71
4 AVA 41.23
4 AVAL 6.81
4 AVAV 75.59
4 AVB 190.0
4 AVCO 5.77
4 AVEO 1.75
4 AVGO 270.64
4 AVGR 0.32
4 AVID 4.57
4 AVLR 38.54
4 AVNS 44.92
4 AVP 1.94
4 AVRO 12.78
4 AVT 40.38
4 AVX 17.49
4 AVY 100.87
4 AVYA 16.49
4 AWI 66.46
4 AWK 93.27
4 AWP 5.66
4 AWR 65.33
4 AWSM 2.82
4 AX 28.58
4 AXAS 1.2
4 AXDX 17.99
4 AXE 60.79
4 AXGN 16.42
4 AXL 14.28
4 AXNX 14.54
4 AXON 1.02
4 AXP 101.15
4 AXS 54.79
4 AXSM 8.22
4 AXTA 26.1
4 AXTI 3.99
4 AY 18.3
4 AYI 119.27
4 AYR 20.39
4 AYTU 1.14
4 AYX 70.39
4 AZN 36.12
4 AZO 835.14
4 AZPN 95.12
4 AZUL 28.5
4 B 57.93
4 BA 385.21
4 BAB 29.5
4 BABA 162.0
4 BABY 33.13
4 BAC 29.32
4 BAC-L 1290.27
4 BAF 13.35
4 BAH 48.09
4 BAK 28.2
4 BAM 42.14
4 BANC 14.97
4 BAND 44.35
4 BANF 53.73
4 BANR 54.88
4 BAP 239.81
4 BAS 4.68
4 BATRA 26.77
4 BATRK 26.54
4 BAX 70.68
4 BB 7.98
4 BBBY 14.52
4 BBCP 8.45
