hour stock vwap
10 A 75.38
10 AA 29.6
10 AABA 67.96
10 AAC 2.3
10 AAL 36.36
10 AAN 49.46
10 AAOI 17.27
10 AAON 36.13
10 AAP 158.9
10 AAPL 165.3
10 AAT 42.48
10 AAU 0.74
10 AAWW 52.52
10 AAXJ 68.36
10 AAXN 49.68
10 AB 30.0
10 ABB 19.34
10 ABBV 78.95
10 ABC 78.53
10 ABCB 37.92
10 ABDC 7.21
10 ABEO 6.55
10 ABEV 4.82
10 ABG 70.1
10 ABIL 2.04
10 ABIO 0.43
10 ABM 33.41
10 ABMD 338.86
10 ABR 11.8
10 ABT 71.59
10 ABTX 36.13
10 ABUS 3.7
10 AC 41.04
10 ACA 28.87
10 ACAD 22.78
10 ACB 6.93
10 ACBI 18.38
10 ACC 46.18
10 ACCO 8.84
10 ACER 24.12
10 ACET 1.22
10 ACGL 29.22
10 ACGLO 22.78
10 ACGLP 22.2
10 ACH 9.11
10 ACHC 27.74
10 ACHN 2.16
10 ACHV 1.47
10 ACIA 43.05
10 ACIU 3.66
10 ACIW 28.67
10 ACLS 20.75
10 ACM 30.34
10 ACMR 9.39
10 ACN 153.98
10 ACNB 37.19
10 ACOR 16.39
10 ACRS 7.0
10 ACRX 2.45
10 ACTG 3.04
10 ACU 16.81
10 ACWI 68.85
10 ACWV 84.93
10 ACWX 45.07
10 ADAP 4.65
10 ADBE 242.41
10 ADC 64.97
10 ADES 11.5
10 ADI 99.02
10 ADIL 5.59
10 ADM 44.64
10 ADMA 3.12
10 ADMP 3.09
10 ADMS 8.95
10 ADNT 19.29
10 ADOM 0.25
10 ADP 139.84
10 ADRO 2.72
10 ADS 179.33
10 ADSK 145.59
10 ADSW 24.92
10 ADT 7.12
10 ADTN 14.68
10 ADUS 60.24
10 ADVM 3.01
10 ADX 13.65
10 ADXS 0.34
10 AE 39.15
10 AEB 22.73
10 AEE 68.01
10 AEG 5.23
10 AEGN 17.95
10 AEH 25.62
10 AEHR 1.22
10 AEIS 50.99
10 AEL 30.59
10 AEM 43.03
10 AEO 21.18
10 AEP 77.43
10 AER 48.43
10 AERI 46.85
10 AES 16.31
10 AEZS 3.94
10 AFG 94.95
10 AFH 9.12
10 AFI 13.16
10 AFIN 13.0
10 AFL 47.33
10 AFMD 3.34
10 AFSI-B 8.37
10 AFSI-C 8.79
