hour stock vwap
9 A 75.13
9 AA 29.46
9 AABA 68.17
9 AAC 2.3
9 AAL 36.55
9 AAN 49.59
9 AAOI 17.36
9 AAON 36.0
9 AAP 159.1
9 AAPL 164.4
9 AAT 42.59
9 AAWW 52.08
9 AAXJ 68.15
9 AAXN 49.64
9 AB 30.16
9 ABB 19.31
9 ABBV 78.72
9 ABC 78.84
9 ABCB 37.65
9 ABDC 7.16
9 ABEO 6.6
9 ABEV 4.8
9 ABG 69.92
9 ABM 33.15
9 ABMD 337.53
9 ABR 11.77
9 ABR-B 25.68
9 ABT 71.24
9 ABTX 36.25
9 ABUS 3.7
9 AC 40.78
9 ACA 28.77
9 ACAD 22.69
9 ACB 6.95
9 ACBI 18.4
9 ACC 46.22
9 ACCO 8.88
9 ACER 24.07
9 ACET 1.23
9 ACGL 29.14
9 ACGLO 22.78
9 ACGLP 22.15
9 ACH 9.06
9 ACHC 27.7
9 ACHN 2.11
9 ACIA 43.09
9 ACIU 3.88
9 ACIW 28.66
9 ACLS 20.73
9 ACM 30.39
9 ACN 153.38
9 ACOR 16.16
9 ACP 11.56
9 ACRE 14.37
9 ACRS 7.02
9 ACRX 2.45
9 ACST 1.02
9 ACWF 28.26
9 ACWI 68.68
9 ACWV 85.07
9 ACWX 44.89
9 ADAP 4.69
9 ADBE 242.01
9 ADC 65.0
9 ADES 11.44
9 ADI 98.93
9 ADIL 5.47
9 ADM 44.74
9 ADMA 3.08
9 ADMP 3.07
9 ADMS 8.95
9 ADNT 19.14
9 ADP 140.25
9 ADRA 30.47
9 ADRO 2.58
9 ADS 178.61
9 ADSK 144.07
9 ADSW 24.89
9 ADT 7.18
9 ADTN 14.77
9 ADUS 60.34
9 ADVM 3.02
9 ADX 13.61
9 ADXS 0.34
9 AEB 22.8
9 AEE 68.04
9 AEG 5.24
9 AEGN 17.99
9 AEH 25.62
9 AEIS 51.12
9 AEL 30.59
9 AEM 43.42
9 AEMD 1.34
9 AEO 21.21
9 AEP 77.56
9 AER 48.23
9 AERI 46.93
9 AES 16.29
9 AETI 0.91
9 AFB 12.53
9 AFG 95.19
9 AFH 9.1
9 AFI 13.26
9 AFIN 13.11
9 AFK 21.41
9 AFL 47.48
9 AFMD 3.22
9 AFSI-D 8.43
9 AFSI-F 8.33
9 AFSS 14.78
9 AG 5.99
9 AGCO 64.04
9 AGEN 3.49
9 AGG 106.96
9 AGGP 18.96
9 AGGY 48.69
9 AGI 4.46
9 AGIO 50.99
9 AGLE 9.09
9 AGM 71.79
9 AGMH 26.99
9 AGN 143.69
9 AGNC 17.98
9 AGNCN 25.79
9 AGO 40.39
9 AGO-E 25.46
9 AGQ 27.99
9 AGR 49.1
9 AGRO 7.48
9 AGRX 0.81
9 AGS 24.68
9 AGX 42.09
9 AGYS 17.85
9 AGZ 112.26
9 AGZD 47.45
9 AHL 41.8
9 AHL-C 24.94
9 AHT 4.96
9 AI 8.64
9 AIA 60.12
9 AIG 42.91
9 AIMC 29.86
9 AIMT 22.58
9 AIN 68.93
9 AINC 63.77
9 AINV 14.98
9 AIQ 14.24
9 AIR 37.01
9 AIRG 10.97
9 AIRR 23.78
9 AIT 58.26
9 AIV 49.39
9 AIZ 95.75
9 AJG 72.8
9 AJRD 38.77
9 AJX 12.87
9 AKAM 64.41
9 AKAO 1.68
9 AKBA 5.7
9 AKCA 28.4
9 AKER 1.11
9 AKG 0.76
9 AKO.B 22.58
9 AKP 13.76
9 AKR 28.41
9 AKRX 4.06
9 AKS 2.91
9 AKTS 7.5
9 AL 37.97
9 ALB 79.89
9 ALBO 25.11
9 ALCO 30.32
9 ALDR 13.96
9 ALDX 8.57
9 ALE 75.38
9 ALGN 228.42
9 ALGT 126.88
9 ALK 65.11
9 ALKS 32.5
9 ALL 87.4
9 ALL-D 25.47
9 ALL-G 24.83
9 ALLE 85.69
9 ALLK 39.3
9 ALLO 30.06
9 ALLT 6.75
9 ALLY 26.71
9 ALLY-A 26.18
9 ALNY 80.03
9 ALOT 19.95
9 ALRM 62.07
9 ALSK 1.91
9 ALSN 48.99
9 ALT 3.19
9 ALTM 8.3
9 ALTR 31.65
9 ALTY 14.57
9 ALV 78.81
9 ALXN 120.48
9 ALYA 2.85
9 AM 26.26
9 AMAG 15.21
9 AMAL 18.42
9 AMAT 39.69
9 AMBA 38.22
9 AMBC 18.67
9 AMBCW 8.9
9 AMBR 8.47
9 AMC 14.12
9 AMCX 62.02
9 AMD 22.67
9 AME 72.36
9 AMED 129.43
9 AMEH 18.77
9 AMG 105.21
9 AMGN 184.66
9 AMGP 13.9
9 AMH 21.92
9 AMH-D 24.57
9 AMH-E 23.72
9 AMH-F 22.69
9 AMH-H 23.73
9 AMID 4.12
9 AMJ 25.35
9 AMKR 7.96
9 AMLP 9.99
9 AMMA 0.27
9 AMN 64.48
