hour stock vwap
12 AAPL 165.49
12 ACIU 3.84
12 ADBE 244.96
12 AGN 143.51
12 ALB 79.24
12 AMD 23.24
12 AMGN 184.87
12 AMZN 1684.83
12 APRN 1.47
12 ATVI 46.4
12 AVGO 271.5
12 BABA 166.97
12 BBF 12.99
12 BKNG 1818.01
12 BMY 48.79
12 BOX 20.14
12 BWFG 28.67
12 CDNS 47.75
12 CEPU 9.92
12 CGC 48.06
12 CGNX 44.16
12 CHKP 110.91
12 CIBR 25.73
12 CMCSA 35.48
12 CMD 81.01
12 CREE 50.02
12 CRM 149.62
12 CRON 18.49
12 CRUS 38.0
12 CTRP 32.49
12 CVS 66.0
12 DWT 9.21
12 EEM 42.79
12 FB 167.23
12 FIVE 123.32
12 FSLR 50.52
12 GE 9.23
12 GEVO 2.62
12 GILD 69.84
12 GNW 4.72
12 GOOG 1105.87
12 GOOGL 1115.06
12 INTC 47.61
12 IRDM 19.49
12 IWM 147.86
12 JACK 80.51
12 JBLU 18.26
12 JD 24.55
12 KHC 46.86
12 LIFE 0.51
12 LVS 59.65
12 MA 204.55
12 MAR 113.87
12 MLNX 92.01
12 MO 47.67
12 MSFT 102.77
12 MU 38.28
12 NFLX 341.04
12 NOK 6.64
12 NOW 209.34
12 NTES 243.82
12 NUE 60.01
12 NVDA 137.27
12 OCX 5.15
12 PCAR 65.58
12 PEP 110.99
12 PPDF 3.44
12 PPL 30.98
12 PTCT 29.88
12 PULM 0.17
12 PYPL 87.86
12 QCOM 51.4
12 QQQ 166.44
12 QTT 9.55
12 ROKU 44.1
12 SCYX 1.19
12 SLAB 77.44
12 SLM 10.52
12 SPOT 137.91
12 SPY 267.92
12 SQ 71.32
12 SQQQ 12.95
12 STML 10.81
12 SVA 6.55
12 TLRY 77.93
12 TMUS 68.73
12 TQQQ 45.63
12 TRVN 1.08
12 TSLA 303.41
12 TVIX 42.81
12 TWLO 104.13
12 TWNK 11.59
12 TWTR 33.21
12 UGAZ 38.75
12 USLV 81.37
12 UVXY 55.95
12 UWT 14.1
12 V 136.36
12 VALE 12.5
12 VRNS 59.98
12 WIX 107.43
12 WYNN 125.72
12 X 20.96
12 YRD 11.12
