hour stock vwap
14 AAPL 165.54
14 ACIU 3.76
14 AMMA 0.29
14 AMZN 1690.46
14 BABA 167.06
14 BAC 29.12
14 BILI 17.87
14 BND 79.52
14 BRK.B 206.08
14 CGC 47.8
14 CRM 150.0
14 CY 14.28
14 FB 167.82
14 FISV 84.94
14 GE 9.16
14 GLD 124.96
14 GOOGL 1113.85
14 GS 202.89
14 HPQ 22.11
14 IAG 3.63
14 KHC 46.97
14 MSFT 103.51
14 MT 23.01
14 MU 38.45
14 NEM 33.98
14 NFLX 341.58
14 NIO 7.45
14 NOW 207.55
14 NVDA 137.82
14 OCX 5.19
14 ORMP 3.1
14 PEP 111.22
14 PYPL 89.04
14 QCOM 51.35
14 QQQ 166.98
14 RMD 94.95
14 SCYX 1.45
14 SPY 268.2
14 SQ 71.61
14 STX 43.99
14 TMUS 68.56
14 TQQQ 45.92
14 TROV 0.68
14 TSLA 294.82
14 TVIX 42.89
14 TXMD 5.25
14 UCO 18.32
14 UGAZ 38.8
14 V 135.49
14 WBA 71.6
14 WLTW 161.41
14 WPM 20.73
14 WYNN 124.0
14 X 20.87
