hour stock vwap
7 A 74.42
7 AA 29.11
7 AABA 67.13
7 AAL 36.43
7 AAN 49.16
7 AAOI 17.16
7 AAON 35.53
7 AAP 159.8
7 AAPL 162.44
7 AAT 42.65
7 AAWW 51.81
7 AAXJ 67.58
7 AAXN 48.93
7 ABB 19.16
7 ABBV 77.77
7 ABC 79.6
7 ABCB 37.48
7 ABDC 7.18
7 ABEO 6.59
7 ABEV 4.72
7 ABG 69.82
7 ABIL 2.02
7 ABM 32.87
7 ABMD 333.8
7 ABR 11.74
7 ABT 70.62
7 ABTX 36.19
7 ABUS 3.57
7 AC 41.26
7 ACA 28.44
7 ACAD 22.37
7 ACB 6.98
7 ACBI 18.41
7 ACC 46.26
7 ACCO 8.82
7 ACER 23.69
7 ACGL 28.98
7 ACHC 27.79
7 ACHN 2.09
7 ACHV 1.45
7 ACIA 42.8
7 ACIU 4.36
7 ACIW 28.47
7 ACLS 20.55
7 ACM 30.15
7 ACMR 9.36
7 ACN 152.7
7 ACNB 37.08
7 ACOR 15.99
7 ACST 1.02
7 ACTG 3.04
7 ACU 17.11
7 ACV 20.95
7 ACWI 68.41
7 ACWV 84.49
7 ACWX 44.68
7 ADAP 4.55
7 ADBE 240.56
7 ADC 64.91
7 ADES 11.53
7 ADI 98.03
7 ADIL 5.78
7 ADILW 0.75
7 ADM 44.68
7 ADMP 3.12
7 ADMS 8.79
7 ADNT 18.91
7 ADP 139.47
7 ADRO 2.45
7 ADS 177.62
7 ADSK 142.54
7 ADSW 24.88
7 ADT 7.16
7 ADTN 14.79
7 ADUS 60.29
7 ADVM 3.02
7 ADX 13.57
7 ADXS 0.34
7 AEB 22.41
7 AEE 67.75
7 AEGN 17.83
7 AEH 25.62
7 AEIS 50.54
7 AEL 30.46
7 AEM 42.37
7 AEO 21.21
7 AEP 77.2
7 AER 47.74
7 AERI 47.08
7 AES 16.16
7 AFG 95.04
7 AFH 8.98
7 AFI 13.11
7 AFIN 13.06
7 AFL 47.34
7 AFMD 3.19
7 AFSI-A 8.22
7 AFSI-B 8.14
7 AFSI-D 8.24
7 AFSS 14.9
7 AG 5.83
7 AGCO 63.51
7 AGE 3.94
7 AGEN 3.42
7 AGFS 4.0
7 AGG 106.84
7 AGGY 48.56
7 AGI 4.37
7 AGIO 50.66
7 AGLE 9.12
7 AGM 71.26
7 AGN 144.06
7 AGNC 17.98
7 AGO 40.33
7 AGR 48.98
7 AGRO 7.28
7 AGS 24.53
7 AGTC 2.87
7 AGX 41.98
7 AGYS 17.93
7 AGZ 112.11
7 AHH 14.95
7 AHL 41.8
7 AHT 4.9
7 AHT-F 21.15
7 AIG 42.57
7 AIG+ 7.03
7 AIHS 4.01
7 AIMC 29.55
7 AIMT 22.43
7 AIN 68.41
7 AINC 62.16
7 AINV 14.9
7 AIPT 1.06
7 AIQ 14.19
7 AIR 37.1
7 AIRG 10.9
7 AIT 58.21
7 AIV 49.6
7 AIZ 95.45
7 AJG 72.48
7 AJRD 38.81
7 AKAM 63.99
7 AKAO 1.69
7 AKBA 5.63
7 AKCA 28.05
7 AKER 1.09
7 AKP 13.75
7 AKR 28.47
7 AKRX 4.08
7 AKS 2.88
7 AKTS 7.32
7 AKTX 1.98
7 AL 37.7
7 ALB 79.43
7 ALBO 23.48
7 ALDR 12.98
7 ALDX 8.37
7 ALE 75.26
7 ALEX 22.64
7 ALG 86.3
7 ALGN 225.97
7 ALGT 126.85
7 ALK 65.04
7 ALKS 32.28
7 ALL 87.17
7 ALLE 85.24
7 ALLK 39.54
7 ALLO 29.72
7 ALLT 6.75
7 ALLY 26.59
7 ALLY-A 26.18
7 ALNY 79.33
