hour stock vwap
3 AABA 65.82
3 AAPL 161.8
3 ABB 19.14
3 ACIU 5.44
3 ADP 137.47
3 AGN 142.81
3 AGNC 17.96
3 AKS 2.78
3 ALGN 207.93
3 ALT 3.14
3 AMAT 38.68
3 AMD 21.07
3 AMGN 187.68
3 AMZN 1620.01
3 ANTM 292.01
3 ARLO 7.12
3 ATTU 24.72
3 AU 13.74
3 AUO 3.99
3 AVCO 6.07
3 AVP 1.87
3 AWSM 2.74
3 AXSM 8.3
3 BA 386.75
3 BABA 160.41
3 BAC 29.45
3 BAK 28.01
3 BGR 11.58
3 BIDU 167.31
3 BIIB 322.38
3 BILI 18.06
3 BNCL 15.34
3 BP 40.45
3 BRK.B 203.94
3 BRZU 37.84
3 BTI 34.08
3 BTX 1.57
3 BZUN 34.52
3 CANF 1.31
3 CARS 26.86
3 CBS 50.36
3 CCL 57.23
3 CETV 3.05
3 CFFN 13.12
3 CGC 47.5
3 CGIX 0.26
3 CHKP 111.58
3 CIEN 38.51
3 CLF 9.75
3 CLNC 15.31
3 CMCSA 35.9
3 CNI 83.33
3 CODX 2.59
3 COHR 114.31
3 COLM 88.24
3 CONN 20.75
3 CRMD 1.83
3 CRON 18.12
3 CSCO 45.8
3 CUK 56.64
3 CZR 8.87
3 DFS 67.22
3 DGAZ 89.56
3 DIA 247.95
3 DIS 109.26
3 DISCA 27.25
3 DQ 34.06
3 DUST 20.0
3 DWT 9.35
3 EBAY 33.64
3 EDC 77.44
3 EEM 42.18
3 EGHT 17.65
3 EKSO 2.17
3 ENVA 21.99
3 ERJ 21.15
3 ETN 70.64
3 EWY 64.03
3 EWZ 44.3
3 EXAS 85.94
3 EYEN 4.17
3 F 8.69
3 FB 145.73
3 FHB 26.29
3 FRSX 2.03
3 FSS 19.4
3 GD 181.75
3 GDEN 18.1
3 GDX 21.92
3 GDXJ 31.81
3 GE 8.97
3 GOGL 4.95
3 GOOG 1067.62
3 GOOGL 1078.02
3 GPOR 8.46
3 GS 201.02
3 HEAR 14.53
3 HFC 54.16
3 HMNY 0.01
3 HPQ 21.98
3 HUYA 20.31
3 HXL 67.94
3 IBB 107.26
3 IBM 134.21
3 IBN 10.51
3 ILMN 277.0
3 INDA 32.06
3 INFY 10.46
3 INPX 2.22
3 INTC 46.57
3 IPCI 0.36
3 IVZ 18.5
3 IWM 146.75
3 JD 23.94
3 JNPR 24.81
3 JNUG 10.45
3 JVA 5.85
3 KL 30.13
3 KNL 19.14
3 LABD 28.49
3 LMT 295.63
3 LPL 8.97
3 MCD 182.28
3 MCK 125.94
3 MELI 351.45
3 MIK 14.67
3 MKSI 75.87
3 MLNX 88.53
3 MMM 197.59
3 MO 46.27
3 MS 42.36
3 MSFT 104.55
3 MTCH 52.14
3 MU 38.35
3 NFLX 332.47
3 NIO 6.8
3 NUGT 19.18
3 NVDA 134.49
3 OCX 5.44
3 OFG 19.32
3 OHI 39.52
3 OSK 77.37
3 PAAS 14.43
3 PACB 7.11
3 PANW 206.01
3 PAYX 70.4
3 PBR 15.82
3 PCG 14.32
3 PDD 30.1
3 PFSI 18.98
3 PG 93.3
3 PYPL 91.82
3 QCOM 49.83
3 QQQ 163.02
3 RBZ 1.31
3 RCL 117.27
3 RDHL 8.78
3 RGS 18.21
3 RIG 8.57
3 RIOT 1.8
3 RMD 92.93
3 RNN 0.65
3 ROKU 43.36
3 RTN 173.1
3 RWLK 0.29
3 RWT 15.79
3 RYAAY 70.97
3 SBS 11.6
3 SBUX 66.92
3 SDOW 15.78
3 SDS 38.22
3 SIG 24.5
3 SIMO 35.9
3 SKT 22.89
3 SLAB 80.95
3 SPXU 38.95
3 SPY 264.87
3 SQ 70.41
3 SRPT 117.62
3 STAF 2.57
3 SYK 171.77
3 SYMC 20.48
3 T 29.88
3 TAHO 3.69
3 TBLT 2.75
3 TGTX 4.43
3 TIS 1.18
3 TLP 40.91
3 TLRY 78.43
3 TNA 54.47
3 TQQQ 43.04
3 TRVN 1.07
3 TSLA 299.29
3 TSS 86.52
3 TUP 33.23
3 TVIX 45.82
3 TWLO 101.51
3 TWTR 32.0
3 UDOW 84.55
3 UGAZ 38.67
3 UNG 25.5
3 UPS 102.19
3 UTX 118.81
3 UVXY 59.16
3 V 136.05
3 VALE 12.35
3 VEEV 106.17
3 VIV 13.11
3 VTR 63.56
3 WB 58.5
3 WDC 43.22
3 WFC 50.06
3 WHR 134.76
3 WMT 96.61
3 XBI 80.33
3 XLI 71.01
3 XLNX 110.6
3 YEXT 14.69
3 YINN 21.48
3 YUMC 35.36
3 YY 67.99
3 ZUO 21.18
3 ZVZZT 10.01
