hour stock vwap
5 A 73.63
5 AA 29.06
5 AABA 67.27
5 AAL 36.36
5 AAN 48.79
5 AAOI 16.72
5 AAON 35.8
5 AAP 158.9
5 AAPL 161.74
5 AAT 42.33
5 AAU 0.74
5 AAWW 50.76
5 AAXJ 67.42
5 AAXN 48.4
5 AB 29.94
5 ABB 19.08
5 ABBV 77.56
5 ABC 79.57
5 ABCB 37.69
5 ABDC 7.0
5 ABEO 6.52
5 ABEV 4.73
5 ABG 69.53
5 ABIL 2.05
5 ABIO 0.44
5 ABM 33.35
5 ABMD 328.69
5 ABR 11.68
5 ABT 70.06
5 ABTX 36.28
5 ACA 29.0
5 ACAD 22.33
5 ACB 6.96
5 ACBI 18.42
5 ACC 46.04
5 ACCO 8.77
5 ACER 22.84
5 ACET 1.19
5 ACGL 28.9
5 ACGLO 22.75
5 ACGLP 22.16
5 ACH 9.01
5 ACHC 27.6
5 ACHN 2.09
5 ACIA 42.96
5 ACIU 3.71
5 ACIW 28.48
5 ACLS 20.45
5 ACM 29.97
5 ACMR 9.46
5 ACN 152.09
5 ACOR 15.86
5 ACRS 6.93
5 ACRX 2.41
5 ACSI 30.88
5 ACST 1.03
5 ACT 22.86
5 ACTG 3.02
5 ACV 20.88
5 ACWF 28.03
5 ACWI 68.14
5 ACWV 84.35
5 ACWX 44.61
5 ADAP 4.58
5 ADBE 239.54
5 ADC 64.68
5 ADI 97.53
5 ADILW 0.71
5 ADM 44.47
5 ADMA 3.05
5 ADMP 3.14
5 ADMS 8.5
5 ADNT 18.84
5 ADOM 0.25
5 ADP 138.35
5 ADRO 2.43
5 ADS 176.58
5 ADSK 141.31
5 ADSW 24.88
5 ADT 7.16
5 ADTN 14.49
5 ADUS 59.85
5 ADVM 2.94
5 ADX 13.53
5 ADXS 0.34
5 AEB 21.73
5 AEE 67.75
5 AEG 5.18
5 AEGN 17.78
5 AEH 25.62
5 AEHR 1.19
5 AEIS 50.69
5 AEL 30.16
5 AEM 42.52
5 AEO 21.1
5 AEP 77.45
5 AER 47.6
5 AERI 46.62
5 AES 16.14
5 AEZS 3.95
5 AFG 94.17
5 AFI 13.09
5 AFIN 13.0
5 AFK 21.34
5 AFL 47.12
5 AFMD 3.2
5 AFSI-A 7.99
5 AFSI-B 7.8
5 AFSI-C 7.9
5 AFSI-E 8.28
5 AFSI-F 7.89
5 AFST 14.5
5 AG 5.83
5 AGCO 63.22
5 AGE 4.0
5 AGEN 3.39
5 AGFS 4.01
5 AGG 106.86
5 AGGY 48.62
5 AGI 4.38
5 AGIO 50.58
5 AGLE 8.83
5 AGM 71.76
5 AGN 144.02
5 AGNC 17.95
5 AGNCN 25.71
5 AGO 40.04
5 AGO-E 25.52
5 AGQ 27.78
5 AGR 48.96
5 AGRX 0.84
5 AGS 24.54
5 AGTC 2.87
5 AGX 42.31
5 AGYS 17.43
5 AHH 14.82
5 AHL 41.84
5 AHL-C 24.88
5 AHT 4.89
5 AHT-G 20.82
5 AHT-I 21.16
5 AI 8.59
5 AIF 14.4
5 AIG 42.29
5 AIG+ 7.03
5 AIMC 29.26
5 AIMT 22.12
5 AIN 67.68
5 AINC 65.4
5 AINV 14.72
5 AIPT 1.05
5 AIR 36.29
5 AIRG 10.78
5 AIRR 23.41
5 AIT 58.23
5 AIV 49.45
5 AIZ 95.2
5 AJG 71.98
5 AJRD 38.79
5 AJX 12.88
5 AKAM 64.03
5 AKAO 1.68
5 AKBA 5.52
5 AKCA 28.76
5 AKR 28.15
5 AKRX 4.12
5 AKS 2.81
5 AKTS 7.3
5 AKTX 2.0
5 AL 37.61
5 ALB 78.74
5 ALBO 22.69
5 ALDR 12.66
5 ALDX 8.49
5 ALE 75.33
5 ALFA 45.24
5 ALG 86.08
5 ALGN 217.95
5 ALGT 125.0
5 ALK 64.17
5 ALKS 32.33
5 ALL 86.28
5 ALL-E 25.32
5 ALLE 84.82
5 ALLK 39.03
5 ALLO 29.97
5 ALLY 26.3
5 ALLY-A 26.09
5 ALNA 7.89
5 ALNY 78.23
5 ALRM 62.26
5 ALSK 1.94
5 ALSN 48.78
5 ALT 2.96
5 ALTM 8.2
5 ALTR 30.89
5 ALV 77.5
5 ALXN 118.21
5 AM 26.13
5 AMAG 15.41
5 AMAL 19.44
5 AMAT 38.85
5 AMBA 37.37
5 AMBC 18.57
5 AMBR 8.4
5 AMC 14.1
5 AMCN 0.57
5 AMCX 60.94
5 AMD 22.04
5 AME 71.46
5 AMED 128.87
5 AMEH 19.17
5 AMG 103.94
5 AMGN 181.91
5 AMGP 13.79
5 AMH 22.2
5 AMH-D 24.63
5 AMH-E 23.81
5 AMH-H 23.71
5 AMJ 24.92
5 AMKR 7.86
5 AMLP 9.83
5 AMMA 0.17
5 AMN 63.88
5 AMNB 32.91
5 AMOT 41.88
5 AMP 118.13
5 AMPE 0.48
5 AMPH 22.28
5 AMR 1.0
5 AMRC 14.91
5 AMRH 0.22
5 AMRN 16.88
5 AMRS 2.73
5 AMRWW 0.11
5 AMRX 12.01
5 AMSC 12.74
5 AMSF 59.12
5 AMSWA 10.89
5 AMT 170.29
5 AMTB 13.96
5 AMTBB 12.44
5 AMTD 55.33
5 AMWD 66.7
5 AMX 15.72
5 AMZA 5.86
5 AMZN 1638.28
5 AN 37.18
5 ANAB 61.88
5 ANAT 137.66
5 ANDE 34.35
5 ANDX 35.57
5 ANET 205.88
5 ANF 21.2
