hour stock vwap
11 AAL 36.47
11 AAPL 165.27
11 ACB 6.97
11 ACIU 3.78
11 ADBE 242.65
11 ADP 139.79
11 AGNC 17.78
11 ALGT 134.99
11 ALT 3.22
11 AMD 23.15
11 AMGN 185.31
11 AMMA 0.27
11 AMRN 16.98
11 AMSC 12.95
11 AMZN 1679.69
11 APRN 1.47
11 ARCB 42.19
11 ARRS 31.26
11 ARRY 18.21
11 ATSG 23.64
11 ATVI 46.43
11 AVCO 5.6
11 AVGO 271.57
11 BABA 166.7
11 BAC 29.06
11 BBY 58.47
11 BHFAL 24.94
11 BIDU 169.99
11 BJ 26.11
11 BKNG 1817.7
11 BLNK 2.48
11 BMRN 97.23
11 BOX 19.82
11 BRID 27.56
11 BZUN 34.02
11 CCL 57.23
11 CELG 87.73
11 CGC 48.09
11 CHTR 293.18
11 CMCSA 35.58
11 CMPR 113.0
11 CODX 2.08
11 CORT 11.97
11 COST 210.02
11 COUP 80.02
11 CRBP 7.3
11 CREE 50.78
11 CRM 149.51
11 CRON 18.49
11 CRUS 38.09
11 CSCO 46.87
11 CSIQ 20.89
11 CTRP 32.49
11 CVCO 159.87
11 CVS 65.75
11 CYBR 86.91
11 CZR 9.05
11 DBX 23.98
11 DDS 67.48
11 DGAZ 88.84
11 DHI 37.74
11 DIA 249.9
11 DISH 29.43
11 DLB 70.02
11 DLTR 95.97
11 DWDP 59.48
11 EBAY 34.07
11 EDU 75.86
11 EEFT 115.56
11 EFII 22.1
11 EKSO 1.74
11 ETFC 46.83
11 EUFN 18.26
11 EWZ 44.61
11 EXC 46.61
11 EXEL 23.05
11 EZPW 9.74
11 FAMI 4.49
11 FB 161.07
11 FCAU 17.08
11 FCX 11.22
11 FIVN 49.75
11 FLEX 9.83
11 FOX 48.79
11 FOXA 49.13
11 FRSX 1.91
11 FSLR 50.51
11 FTS 35.62
11 FXI 42.56
11 GDXJ 32.22
11 GE 9.11
11 GHL 27.87
11 GILD 69.87
11 GLD 124.64
11 GLOP 23.39
11 GLUU 9.26
11 GNTX 22.4
11 GNW 4.81
11 GOOG 1104.52
11 GOOGL 1114.74
11 GS 201.63
11 HEAR 14.59
11 HJLI 1.8
11 HLG 34.21
11 HOLX 45.11
11 HPQ 21.93
11 HROW 6.24
11 HRTX 26.64
11 HSY 107.0
11 IBB 108.52
11 IEF 104.36
11 INTC 47.6
11 IRBT 91.03
11 ISRG 507.99
11 IVV 269.09
11 IWM 147.8
11 IYR 82.69
11 JBL 26.11
11 JD 24.61
11 JKS 15.53
11 JNPR 25.78
11 KEQU 32.0
11 KMI 18.09
11 KO 47.54
11 KRE 53.4
11 LABD 26.68
11 LBTYA 23.86
11 LC 3.01
11 LEVB 4.67
11 LIFE 0.67
11 LITE 46.9
11 LLEX 1.9
11 LLNW 3.11
11 LRCX 172.24
11 LUV 56.89
11 MA 206.97
11 MBOT 8.32
11 MDLZ 44.54
11 MDWD 4.98
11 MET 45.21
11 MGNX 11.35
11 MLAB 218.6
11 MLNX 91.6
11 MMLP 13.68
11 MNK 21.49
11 MPW 18.08
11 MRIN 6.01
11 MRNA 15.28
11 MRO 16.07
11 MSFT 103.62
11 MTCH 52.94
