hour stock vwap
8 A 74.39
8 AA 29.06
8 AAAU 13.1
8 AABA 67.63
8 AAL 36.42
8 AAN 49.39
8 AAOI 17.17
8 AAON 35.51
8 AAP 158.68
8 AAPL 163.02
8 AAT 42.4
8 AAWW 51.35
8 AAXJ 67.57
8 AAXN 49.17
8 AB 30.0
8 ABB 19.15
8 ABBV 78.13
8 ABC 79.13
8 ABCB 37.45
8 ABDC 7.14
8 ABEO 6.58
8 ABEV 4.73
8 ABG 69.51
8 ABIO 0.43
8 ABM 32.87
8 ABMD 332.57
8 ABR 11.71
8 ABT 70.43
8 ABTX 36.22
8 ABUS 3.58
8 AC 41.28
8 ACA 28.47
8 ACAD 22.51
8 ACB 6.95
8 ACBI 18.39
8 ACC 46.17
8 ACCO 8.8
8 ACER 23.69
8 ACET 1.18
8 ACGL 28.95
8 ACGLO 22.67
8 ACH 9.03
8 ACHC 27.51
8 ACHN 2.11
8 ACIA 43.19
8 ACIU 4.03
8 ACIW 28.37
8 ACLS 20.55
8 ACM 30.09
8 ACMR 9.39
8 ACN 152.28
8 ACNB 37.2
8 ACOR 16.08
8 ACRX 2.42
8 ACST 1.02
8 ACTG 3.04
8 ACV 20.96
8 ACWF 28.09
8 ACWI 68.36
8 ACWV 84.41
8 ACWX 44.66
8 ADAP 4.61
8 ADBE 240.16
8 ADC 64.93
8 ADES 11.45
8 ADI 98.08
8 ADIL 5.35
8 ADM 44.6
8 ADMA 2.99
8 ADMP 3.11
8 ADMS 8.89
8 ADNT 18.96
8 ADOM 0.25
8 ADP 139.2
8 ADRO 2.52
8 ADS 177.39
8 ADSK 142.49
8 ADSW 24.84
8 ADT 7.07
8 ADTN 14.76
8 ADUS 60.31
8 ADVM 3.04
8 ADX 13.56
8 ADXS 0.34
8 AEE 67.57
8 AEGN 17.83
8 AEHR 1.18
8 AEIS 50.64
8 AEL 30.37
8 AEM 42.44
8 AEO 21.19
8 AEP 76.98
8 AER 47.68
8 AERI 46.69
8 AES 16.17
8 AEYE 10.94
8 AFG 94.99
8 AFI 13.08
8 AFIN 13.05
8 AFL 47.19
8 AFMD 3.2
8 AFSI-B 8.16
8 AFSI-F 8.17
8 AFSS 14.98
8 AG 5.82
8 AGCO 63.52
8 AGE 3.81
8 AGEN 3.48
8 AGG 106.83
8 AGGY 48.62
8 AGI 4.34
8 AGIO 50.39
8 AGLE 9.01
8 AGM 71.33
8 AGN 144.0
8 AGNC 17.98
8 AGNCN 25.76
8 AGO 40.22
8 AGO-E 25.45
8 AGR 48.99
8 AGRO 7.41
8 AGRX 0.84
8 AGS 24.64
8 AGTC 2.96
8 AGX 41.91
8 AGYS 17.83
8 AHL 41.78
8 AHL-D 23.13
8 AHT 4.9
8 AHT-G 20.94
8 AI 8.62
8 AIG 42.51
8 AIG+ 7.02
8 AIMC 29.42
8 AIMT 22.34
8 AIN 68.51
8 AINC 63.04
8 AINV 14.91
8 AIR 37.05
8 AIRG 10.87
8 AIRR 23.59
8 AIT 57.72
8 AIV 49.31
8 AIZ 95.3
8 AJG 72.55
8 AJRD 38.77
8 AJX 12.84
8 AJXA 24.32
8 AKAM 63.96
8 AKAO 1.7
8 AKBA 5.65
8 AKCA 28.09
8 AKER 1.1
8 AKR 28.28
8 AKRX 4.07
8 AKS 2.88
8 AKTS 7.44
8 AKTX 1.99
8 AL 37.69
8 ALB 79.11
8 ALBO 23.67
8 ALCO 30.27
8 ALDR 13.52
8 ALDX 8.41
8 ALE 75.11
8 ALEX 22.63
8 ALGN 224.75
8 ALGT 126.88
8 ALIM 0.85
8 ALK 65.02
8 ALKS 32.37
8 ALL 86.96
8 ALLE 84.9
8 ALLK 39.37
8 ALLO 30.06
8 ALLT 6.75
8 ALLY 26.58
8 ALNY 79.51
8 ALOT 19.94
8 ALRM 61.97
8 ALSN 48.82
8 ALT 3.18
8 ALTM 8.26
8 ALTR 31.34
8 ALV 78.08
8 ALXN 119.21
8 AM 26.23
8 AMAG 15.2
8 AMAL 18.58
8 AMAT 39.16
8 AMBA 37.91
8 AMBC 18.55
8 AMC 14.06
8 AMCI 9.68
8 AMCX 61.71
8 AMD 22.31
8 AME 71.88
8 AMED 129.19
8 AMEH 18.81
8 AMG 104.84
8 AMGN 183.52
8 AMGP 13.9
8 AMH 22.04
8 AMH-E 23.8
8 AMH-G 22.46
8 AMH-H 23.69
8 AMID 4.09
8 AMJ 25.27
8 AMKR 7.87
8 AMLP 9.95
8 AMN 64.35
8 AMNB 32.46
8 AMOT 41.55
8 AMP 119.43
8 AMPE 0.49
8 AMR 1.0
8 AMRC 14.98
8 AMRK 13.14
8 AMRN 16.84
8 AMRS 3.15
8 AMRWW 0.1
8 AMRX 11.93
8 AMSC 12.91
8 AMSF 59.45
8 AMSWA 11.16
8 AMT 170.09
8 AMTBB 12.69
8 AMTD 55.53
8 AMU 15.9
8 AMWD 66.63
8 AMX 15.45
8 AMZN 1651.93
8 AN 37.37
8 ANAB 64.89
8 ANAT 136.59
8 ANDE 34.43
8 ANDX 35.88
8 ANET 207.45
8 ANF 21.29
8 ANGI 16.21
8 ANGL 27.96
8 ANGO 20.55
8 ANIK 37.69
8 ANIP 53.62
8 ANIX 5.24
8 ANSS 160.64
8 ANTM 298.85
8 AOBC 12.04
8 AON 153.52
8 AOS 47.07
8 AOSL 11.56
8 AP 3.36
8 APA 33.09
8 APAM 22.62
8 APC 47.32
8 APD 162.6
8 APEI 29.3
8 APH 87.11
8 APHA 7.67
8 APLE 16.1
8 APLS 13.15
8 APM 12.77
8 APO 27.24
8 APOG 33.4
8 APPF 60.36
8 APPN 31.59
8 APPS 2.21
8 APRN 1.47
8 APTV 72.93
8 APU 30.34
8 APY 34.49
8 APYX 8.67
8 AQMS 2.24
8 AQST 7.12
8 AQUA 10.63
8 AQXP 2.25
8 AR 10.32
8 ARA 12.11
8 ARAV 3.76
8 ARAY 4.35
8 ARC 2.29
8 ARCB 40.41
8 ARCC 16.26
8 ARCE 25.42
8 ARCH 85.94
8 ARCI 0.44
8 ARCO 8.83
8 ARCT 4.99
8 ARD 11.76
8 ARDX 2.08
8 ARE 128.62
8 ARES 20.62
8 AREX 0.95
8 ARGT 27.42
8 ARGX 102.63
8 ARI 17.96
8 ARLO 6.94
8 ARLP 19.51
8 ARMK 32.43
8 ARNA 44.05
8 ARNC 18.68
8 AROC 9.63
8 AROW 30.91
8 ARPO 4.0
8 ARR 21.1
8 ARRS 31.26
8 ARRY 18.18
8 ARTNA 34.48
8 ARTX 3.5
8 ARVN 17.56
8 ARW 74.73
8 ARWR 13.4
8 ASB 22.02
8 ASCMA 0.55
8 ASGN 61.9
8 ASH 76.08
