hour stock vwap
6 A 73.79
6 AA 29.28
6 AABA 67.75
6 AAC 2.34
6 AAL 36.41
6 AAME 2.54
6 AAN 49.07
6 AAOI 17.13
6 AAON 35.72
6 AAP 159.75
6 AAPL 162.56
6 AAT 42.53
6 AAWW 51.59
6 AAXJ 67.46
6 AAXN 48.76
6 AB 30.1
6 ABB 19.08
6 ABBV 77.7
6 ABC 79.54
6 ABCB 37.56
6 ABDC 7.0
6 ABEO 6.52
6 ABEV 4.73
6 ABG 69.88
6 ABIO 0.44
6 ABM 33.12
6 ABMD 330.54
6 ABR 11.75
6 ABT 70.31
6 ABTX 36.28
6 ABUS 3.51
6 AC 41.22
6 ACA 28.73
6 ACAD 22.24
6 ACB 7.01
6 ACBI 18.37
6 ACC 46.19
6 ACCO 8.86
6 ACER 23.22
6 ACET 1.18
6 ACGL 28.93
6 ACGLO 22.7
6 ACGLP 22.15
6 ACH 9.01
6 ACHC 27.54
6 ACHN 2.08
6 ACIA 43.07
6 ACIU 4.05
6 ACIW 28.46
6 ACLS 20.4
6 ACM 30.11
6 ACMR 9.34
6 ACN 152.31
6 ACOR 15.78
6 ACP 11.49
6 ACRE 14.33
6 ACRS 6.91
6 ACRX 2.41
6 ACST 1.03
6 ACTG 3.04
6 ACWI 68.31
6 ACWV 84.38
6 ACWX 44.65
6 ADAP 4.51
6 ADBE 239.64
6 ADC 64.7
6 ADES 11.54
6 ADI 97.77
6 ADIL 5.19
6 ADM 44.62
6 ADMA 3.01
6 ADMP 3.12
6 ADMS 8.57
6 ADNT 18.87
6 ADOM 0.25
6 ADP 138.91
6 ADS 177.38
6 ADSK 142.03
6 ADSW 24.84
6 ADT 7.17
6 ADTN 14.74
6 ADUS 59.88
6 ADVM 2.98
6 ADX 13.56
6 AEB 22.4
6 AEE 67.77
6 AEG 5.19
6 AEGN 17.8
6 AEH 25.62
6 AEHR 1.18
6 AEIS 50.41
6 AEL 30.41
6 AEM 42.32
6 AEMD 1.35
6 AEO 21.17
6 AEP 77.25
6 AER 47.91
6 AERI 47.15
6 AES 16.16
6 AFG 94.74
6 AFI 13.05
6 AFIN 12.95
6 AFK 21.29
6 AFL 47.23
6 AFMD 3.2
6 AFSI-B 8.04
6 AFSI-D 8.28
6 AFSI-E 8.37
6 AFSI-F 7.98
6 AFST 14.88
6 AG 5.83
6 AGCO 63.34
6 AGD 9.52
6 AGEN 3.41
6 AGFS 4.07
6 AGG 106.85
6 AGI 4.36
6 AGIO 50.28
6 AGLE 9.11
6 AGM 71.23
6 AGN 143.78
6 AGNC 18.0
6 AGNCB 25.27
6 AGNCN 25.74
6 AGO 40.3
6 AGQ 27.78
6 AGR 49.08
6 AGRO 7.2
6 AGRX 0.84
6 AGS 24.5
6 AGX 42.28
6 AGYS 17.4
6 AGZD 47.39
6 AHL 41.81
6 AHL-C 24.89
6 AHPI 1.99
6 AHT 4.9
6 AHT-G 20.92
6 AHT-I 21.33
